,time,target,true_distance,noise,sensor_output
77,116.611,landmark2,18.41014968990061,0.2136857263297158,18.623835416230325
78,116.634,landmark3,27.472610835113105,-0.20900087336359077,27.263609961749516
79,116.657,landmark4,24.18861729311189,0.22187256912119424,24.410489862233085
80,116.697,drone1,28.44145209047509,-0.04994492502902423,28.391507165446065
81,116.72,drone2,25.208286120261395,0.0009823547694029695,25.209268475030797
82,116.743,drone3,21.42182409303715,0.09531878770955313,21.5171428807467
83,116.766,drone4,26.80769737431877,0.10496118433242366,26.912658558651195
84,116.789,rover5,48.090199773301734,0.32180745045328885,48.412007223755026
85,116.812,rover6,20.608628299091066,-0.03125166734484968,20.577376631746215
86,116.835,landmark1,23.311157671393417,0.07592073011605477,23.387078401509473
87,116.858,landmark2,18.410193148301932,0.10154141893360358,18.511734567235536
