,time,target,direction.x,direction.y,direction.z
72,116.496,drone3,-0.6995169164967728,0.7021097796511561,0.13310875573399372
73,116.519,drone4,-0.6375975259647086,0.7558651095366067,0.14878619246723224
74,116.542,rover5,-0.9346620145644168,0.3555375065030101,8.977616679425631e-08
75,116.565,rover6,0.24424009112654388,0.9697147920324066,2.095101312121292e-07
76,116.588,landmark1,-0.8561248494341055,0.5165417502571182,0.015325221784473484
77,116.611,landmark2,-0.3779043180144144,0.9256412763603827,0.019404997397117173
78,116.634,landmark3,-0.5444431602397279,0.838696933292414,0.013003820749226147
79,116.657,landmark4,-0.4116512714408306,0.9112217614531402,0.01476929840527889
80,116.697,drone1,-0.7011366882320369,0.7053581147573625,0.10429417222908935
81,116.72,drone2,-0.7922800462526268,0.5973175902591706,0.12451515842223003
